N,Value,RectType
100,0.9408,Узкий
600,0.942891,Узкий
1100,0.952204,Узкий
1600,0.950208,Узкий
2100,0.980821,Узкий
2600,0.939835,Узкий
3100,0.95213,Узкий
3600,0.947072,Узкий
4100,0.931927,Узкий
4600,0.941618,Узкий
5100,0.949163,Узкий
5600,0.946176,Узкий
6100,0.9408,Узкий
6600,0.949353,Узкий
7100,0.94451,Узкий
7600,0.941625,Узкий
8100,0.934296,Узкий
8600,0.936862,Узкий
9100,0.948795,Узкий
9600,0.942891,Узкий
10100,0.945147,Узкий
10600,0.946599,Узкий
11100,0.947355,Узкий
11600,0.946099,Узкий
12100,0.939867,Узкий
12600,0.951154,Узкий
13100,0.946354,Узкий
13600,0.94246,Узкий
14100,0.943825,Узкий
14600,0.946127,Узкий
15100,0.945951,Узкий
15600,0.939674,Узкий
16100,0.946566,Узкий
16600,0.94284,Узкий
17100,0.949089,Узкий
17600,0.948925,Узкий
18100,0.942255,Узкий
18600,0.945386,Узкий
19100,0.939684,Узкий
19600,0.950336,Узкий
20100,0.943546,Узкий
20600,0.940374,Узкий
21100,0.941751,Узкий
21600,0.950324,Узкий
22100,0.947554,Узкий
22600,0.942521,Узкий
23100,0.940474,Узкий
23600,0.944361,Узкий
24100,0.942778,Узкий
24600,0.947225,Узкий
25100,0.943699,Узкий
25600,0.943691,Узкий
26100,0.941521,Узкий
26600,0.946317,Узкий
27100,0.94367,Узкий
27600,0.950253,Узкий
28100,0.946246,Узкий
28600,0.943081,Узкий
29100,0.948171,Узкий
29600,0.940037,Узкий
30100,0.944092,Узкий
30600,0.944284,Узкий
31100,0.946003,Узкий
31600,0.942666,Узкий
32100,0.940253,Узкий
32600,0.943647,Узкий
33100,0.943529,Узкий
33600,0.944197,Узкий
34100,0.942051,Узкий
34600,0.941634,Узкий
35100,0.949198,Узкий
35600,0.949433,Узкий
36100,0.940765,Узкий
36600,0.93823,Узкий
37100,0.945398,Узкий
37600,0.942034,Узкий
38100,0.940602,Узкий
38600,0.947072,Узкий
39100,0.938458,Узкий
39600,0.943651,Узкий
40100,0.946775,Узкий
40600,0.944013,Узкий
41100,0.945103,Узкий
41600,0.945323,Узкий
42100,0.948547,Узкий
42600,0.943921,Узкий
43100,0.947523,Узкий
43600,0.943677,Узкий
44100,0.942677,Узкий
44600,0.944653,Узкий
