N,Error,RectType
100,0.00393554,Узкий
600,0.00172206,Узкий
1100,0.00813797,Узкий
1600,0.0060251,Узкий
2100,0.0384367,Узкий
2600,0.00495715,Узкий
3100,0.00806007,Узкий
3600,0.00270489,Узкий
4100,0.0133293,Узкий
4600,0.0030694,Узкий
5100,0.00491837,Узкий
5600,0.00175626,Узкий
6100,0.00393554,Узкий
6600,0.00511959,Узкий
7100,7.39925e-06,Узкий
7600,0.0030618,Узкий
8100,0.0108219,Узкий
8600,0.00810511,Узкий
9100,0.00452918,Узкий
9600,0.00172206,Узкий
10100,0.000666737,Узкий
10600,0.00220372,Узкий
11100,0.00300401,Узкий
11600,0.00167448,Узкий
12100,0.00492337,Узкий
12600,0.00702644,Узкий
13100,0.00194453,Узкий
13600,0.00217778,Узкий
14100,0.000733064,Узкий
14600,0.00170428,Узкий
15100,0.00151753,Узкий
15600,0.00512741,Узкий
16100,0.00216871,Узкий
16600,0.0017754,Узкий
17100,0.0048407,Узкий
17600,0.00466683,Узкий
18100,0.00239467,Узкий
18600,0.000919827,Узкий
19100,0.00511761,Узкий
19600,0.00616062,Узкий
20100,0.00102829,Узкий
20600,0.00438683,Узкий
21100,0.00292846,Узкий
21600,0.00614807,Узкий
22100,0.00321569,Узкий
22600,0.00211383,Узкий
23100,0.0042805,Узкий
23600,0.000165127,Узкий
24100,0.00184146,Узкий
24600,0.00286685,Узкий
25100,0.000866657,Узкий
25600,0.000874718,Узкий
26100,0.00317227,Узкий
26600,0.00190604,Узкий
27100,0.000897115,Узкий
27600,0.00607322,Узкий
28100,0.00183053,Узкий
28600,0.00152084,Узкий
29100,0.00386868,Узкий
29600,0.00474316,Узкий
30100,0.000449867,Узкий
30600,0.000246413,Узкий
31100,0.00157324,Узкий
31600,0.00196022,Узкий
32100,0.00451477,Узкий
32600,0.000920867,Узкий
33100,0.00104665,Узкий
33600,0.000338641,Узкий
34100,0.00261135,Узкий
34600,0.00305271,Узкий
35100,0.0049562,Узкий
35600,0.00520438,Узкий
36100,0.00397233,Узкий
36600,0.00665703,Узкий
37100,0.000932914,Узкий
37600,0.00262865,Узкий
38100,0.00414469,Узкий
38600,0.00270489,Узкий
39100,0.00641509,Узкий
39600,0.000917164,Узкий
40100,0.00239026,Узкий
40600,0.000533547,Узкий
41100,0.000620666,Узкий
41600,0.000853231,Узкий
42100,0.00426642,Узкий
42600,0.000630914,Узкий
43100,0.00318251,Узкий
43600,0.000889472,Узкий
44100,0.00194793,Узкий
44600,0.000144006,Узкий
45100,7.79075e-05,Узкий
45600,0.00204244,Узкий
46100,0.00393554,Узкий
46600,0.00068141,Узкий
47100,0.00229603,Узкий
47600,0.00256538,Узкий
48100,0.000206099,Узкий
48600,0.00139414,Узкий
49100,0.00780349,Узкий
49600,0.00240931,Узкий
50100,0.00306276,Узкий
50600,0.00406677,Узкий
51100,0.000504869,Узкий
51600,0.000671579,Узкий
52100,0.000749154,Узкий
52600,0.00343057,Узкий
53100,0.00481093,Узкий
53600,0.00410898,Узкий
54100,0.00271716,Узкий
54600,0.00252475,Узкий
55100,0.00263397,Узкий
55600,0.004891,Узкий
56100,0.00162774,Узкий
56600,0.00203492,Узкий
57100,0.00162335,Узкий
57600,0.0034744,Узкий
58100,0.00331836,Узкий
58600,0.00590727,Узкий
59100,0.00393554,Узкий
59600,0.00263804,Узкий
60100,0.00331258,Узкий
60600,0.0041547,Узкий
61100,0.00376165,Узкий
61600,0.00333012,Узкий
62100,0.00416985,Узкий
62600,0.000519856,Узкий
63100,0.00181038,Узкий
63600,0.000700231,Узкий
64100,0.00109917,Узкий
64600,5.28288e-05,Узкий
65100,0.000406219,Узкий
65600,0.00425946,Узкий
66100,0.000223518,Узкий
66600,0.00124918,Узкий
67100,0.00326259,Узкий
67600,0.000681326,Узкий
68100,0.00481313,Узкий
68600,0.00111738,Узкий
69100,0.00226342,Узкий
69600,0.00206553,Узкий
70100,0.000316933,Узкий
70600,0.000880182,Узкий
71100,0.00346139,Узкий
71600,0.000219365,Узкий
72100,0.00032521,Узкий
72600,0.00210622,Узкий
73100,0.00200542,Узкий
73600,0.000719978,Узкий
74100,0.000258415,Узкий
74600,0.000443938,Узкий
75100,0.000575536,Узкий
75600,0.00050898,Узкий
76100,0.0021028,Узкий
76600,0.00188966,Узкий
77100,0.000370834,Узкий
77600,0.000497117,Узкий
78100,0.00271339,Узкий
78600,0.00200931,Узкий
79100,0.00289456,Узкий
79600,0.00174987,Узкий
80100,0.000122061,Узкий
80600,0.00143096,Узкий
81100,0.00182305,Узкий
81600,0.00182601,Узкий
82100,0.000134077,Узкий
82600,0.00200612,Узкий
83100,0.00324832,Узкий
83600,0.000758302,Узкий
84100,0.000556107,Узкий
84600,0.00311922,Узкий
85100,1.28228e-05,Узкий
85600,0.00157726,Узкий
86100,0.00262442,Узкий
86600,0.00424226,Узкий
87100,0.000364347,Узкий
87600,0.0030081,Узкий
88100,0.0034833,Узкий
88600,0.0019569,Узкий
89100,0.00245989,Узкий
89600,0.00117858,Узкий
90100,7.46226e-08,Узкий
90600,0.000139602,Узкий
91100,0.000744103,Узкий
91600,0.00331384,Узкий
92100,0.00216188,Узкий
92600,0.00115316,Узкий
93100,0.000928877,Узкий
93600,0.00170788,Узкий
94100,0.00333294,Узкий
94600,0.00169408,Узкий
95100,0.00251636,Узкий
95600,0.00192118,Узкий
96100,4.45711e-05,Узкий
96600,0.000938411,Узкий
97100,0.000297324,Узкий
97600,0.00159506,Узкий
98100,0.00298242,Узкий
98600,0.00219798,Узкий
99100,0.00145185,Узкий
100,0.0724404,Широкий
